"filename", "language", "Dart", "comment", "blank", "total"
"/home/remy/StudioProjects/dmp3s/lib/common/api/kinds.dart", "Dart", 0, 4, 0, 4
"/home/remy/StudioProjects/dmp3s/lib/common/api/relay/pool.dart", "Dart", 6, 9, 2, 17
"/home/remy/StudioProjects/dmp3s/lib/common/model/challenge.dart", "Dart", 26, 0, 2, 28
"/home/remy/StudioProjects/dmp3s/lib/core/discover/page.dart", "Dart", 1, 7, 8, 16
"/home/remy/StudioProjects/dmp3s/lib/core/favorite/page.dart", "Dart", 71, 0, 7, 78
"/home/remy/StudioProjects/dmp3s/lib/core/page.dart", "Dart", 2, 0, 0, 2
"/home/remy/StudioProjects/dmp3s/lib/core/profile/page.dart", "Dart", 35, -1, 5, 39
"Total", "-", 141, 19, 24, 184
