"filename", "language", "Dart", "comment", "blank", "total"
"/home/remy/StudioProjects/dmp3s/lib/auth/bottom_sheet.dart", "Dart", 420, 2, 13, 435
"/home/remy/StudioProjects/dmp3s/lib/auth/page.dart", "Dart", 90, 0, 5, 95
"/home/remy/StudioProjects/dmp3s/lib/auth/step.dart", "Dart", 10, 0, 2, 12
"/home/remy/StudioProjects/dmp3s/lib/common/api/kinds.dart", "Dart", 41, 4, 3, 48
"/home/remy/StudioProjects/dmp3s/lib/common/api/relay/pool.dart", "Dart", 52, 16, 12, 80
"/home/remy/StudioProjects/dmp3s/lib/common/api/relay/relay.dart", "Dart", 80, 16, 20, 116
"/home/remy/StudioProjects/dmp3s/lib/common/model/challenge.dart", "Dart", 134, 0, 16, 150
"/home/remy/StudioProjects/dmp3s/lib/common/model/user_info.dart", "Dart", 45, 4, 7, 56
"/home/remy/StudioProjects/dmp3s/lib/common/style/button.dart", "Dart", 80, 0, 8, 88
"/home/remy/StudioProjects/dmp3s/lib/common/widget/challenge.dart", "Dart", 159, 0, 8, 167
"/home/remy/StudioProjects/dmp3s/lib/core/challenge-fv/page.dart", "Dart", 222, 1, 9, 232
"/home/remy/StudioProjects/dmp3s/lib/core/creation/page.dart", "Dart", 356, 0, 6, 362
"/home/remy/StudioProjects/dmp3s/lib/core/discover/page.dart", "Dart", 141, 12, 16, 169
"/home/remy/StudioProjects/dmp3s/lib/core/favorite/page.dart", "Dart", 71, 0, 7, 78
"/home/remy/StudioProjects/dmp3s/lib/core/my_challenges/page.dart", "Dart", 151, 11, 12, 174
"/home/remy/StudioProjects/dmp3s/lib/core/page.dart", "Dart", 100, 1, 7, 108
"/home/remy/StudioProjects/dmp3s/lib/core/profile/page.dart", "Dart", 1133, 2, 14, 1149
"/home/remy/StudioProjects/dmp3s/lib/core/style.dart", "Dart", 21, 0, 3, 24
"/home/remy/StudioProjects/dmp3s/lib/main.dart", "Dart", 133, 178, 27, 338
"/home/remy/StudioProjects/dmp3s/lib/mapping/_dual.dart", "Dart", 582, 0, 2, 584
"/home/remy/StudioProjects/dmp3s/lib/mapping/_single.dart", "Dart", 684, 0, 2, 686
"/home/remy/StudioProjects/dmp3s/lib/mapping/model.dart", "Dart", 42, 11, 8, 61
"/home/remy/StudioProjects/dmp3s/lib/mapping/skill.dart", "Dart", 61, 6, 10, 77
"Total", "-", 4808, 264, 217, 5289
